Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-11-07,2233.2875,2461.95375,2640.905,2068.0975,-228.66625000000022
2017-11-08,2235.83374,2233.2875,2251.1475,1909.99125,2.5462400000001253
2017-11-09,2196.785,2235.83374,2321.8175,2136.0025,-39.04874000000018
2017-11-10,2316.73625,2196.785,2340.725,2158.34499,119.95125000000007
2017-11-11,2171.98124,2316.73625,2330.63625,2153.9225,-144.75500999999986
2017-11-12,2403.125,2171.98124,2415.515,2163.22625,231.14375999999993
2017-11-13,2478.1725,2403.125,2490.9775,2362.74125,75.04750000000013
2017-11-14,2476.2975,2478.1725,2525.80625,2419.9325,-1.875
2017-11-15,2527.31125,2476.2975,2594.64,2449.04374,51.01375000000007
2017-11-16,2606.125,2527.31125,2608.92999,2495.29125,78.8137499999998
2017-11-17,2856.03,2606.125,2912.86,2583.375,249.9050000000002
2017-11-18,2901.8525,2856.03,2968.47625,2743.335,45.82249999999976
2017-11-19,2738.9025,2901.8525,2912.93875,2626.085,-162.94999999999982
2017-11-20,2827.03875,2738.9025,2865.365,2713.68875,88.13625000000002
2017-11-21,2847.00625,2827.03875,2875.69625,2795.0625,19.967499999999745
2017-11-22,2911.33625,2847.00625,2944.6325,2822.525,64.32999999999993
2017-11-23,3008.0125,2911.33625,3026.4725,2895.01,96.67624999999998
2017-11-24,2698.0775,3008.0125,3042.35833,2526.23875,-309.93499999999995
2017-11-25,2781.1825,2698.0775,2803.9475,2697.4575,83.10500000000002
2017-11-26,2519.54875,2781.1825,2829.8825,2386.03125,-261.63374999999996
2017-11-27,2439.61749,2519.54875,2523.3075,2186.96124,-79.93125999999984
2017-11-28,2521.78375,2439.61749,2560.18874,2434.9475,82.16625999999997
2017-11-29,2681.1025,2521.78375,2708.06,2511.93874,159.3187499999999
2017-11-30,2612.67999,2681.1025,2681.1025,2523.3225,-68.42250999999987
2017-12-01,2668.5475,2612.67999,2692.57375,2556.10375,55.86751000000004
2017-12-02,2806.0975,2668.5475,2823.63375,2637.05875,137.54999999999973
2017-12-03,2703.00375,2806.0975,2829.94375,2662.31125,-103.09375
2017-12-04,2764.29125,2703.00375,2784.75875,2644.75875,61.287500000000364
2017-12-05,2741.5925,2764.29125,2781.27,2727.04125,-22.698750000000018
2017-12-06,2599.15875,2741.5925,2765.0375,2557.8225,-142.43375000000015
2017-12-07,2631.59499,2599.15875,2697.88625,2531.63125,32.43624
2017-12-08,2514.42999,2631.59499,2634.1075,2388.63749,-117.16499999999996
2017-12-09,2557.1675,2514.42999,2598.27625,2333.60125,42.73750999999993
2017-12-10,2592.2675,2557.1675,2620.23625,2499.9325,35.09999999999991
2017-12-11,2548.3225,2592.2675,2621.84375,2531.12125,-43.94499999999971
2017-12-12,2480.05499,2548.3225,2582.74125,2472.7925,-68.26751000000013
2017-12-13,2425.69875,2480.05499,2548.0475,2397.01249,-54.35624000000007
2017-12-14,2514.74125,2425.69875,2552.065,2411.4725,89.04250000000002
2017-12-15,2641.06125,2514.74125,2649.85624,2511.3225,126.32000000000016
2017-12-16,2589.67875,2641.06125,2660.78875,2584.3525,-51.382500000000164
2017-12-17,2635.17375,2589.67875,2649.67999,2561.85,45.49499999999989
2017-12-18,2599.57,2635.17375,2639.09875,2592.9825,-35.60374999999976
2017-12-19,2515.3625,2599.57,2604.47125,2483.77124,-84.20749999999998
2017-12-20,2587.0425,2515.3625,2589.38125,2507.30375,71.67999999999984
2017-12-21,2525.12624,2587.0425,2591.7525,2511.28625,-61.916259999999966
2017-12-22,2353.265,2525.12624,2542.55625,2315.0775,-171.86124000000018
2017-12-23,2293.91375,2353.265,2429.15749,2273.31625,-59.35124999999971
2017-12-24,2438.55375,2293.91375,2449.505,2293.41874,144.63999999999987
2017-12-25,2338.67875,2438.55375,2438.55375,2328.72875,-99.875
2017-12-26,2110.37375,2338.67875,2373.83374,2106.24375,-228.30499999999984
2017-12-27,2046.5725,2110.37375,2152.72875,1972.28375,-63.80125000000021
2017-12-28,1987.9425,2046.5725,2056.7475,1837.92,-58.62999999999988
